# Associação mista (1000 // 220) - 100

# Medidas com capacímetro: acho que nem tem

# tempo (s)     tensão (V)
1.39    0.36
2.19    0.68
3.29    1.11
4.09    1.37
5.29    1.72
6.53    2.03
7.29    2.22
8.19    2.39
9.29    2.62
10.49   2.83
11.59   3.01
12.59   3.18
14.09   3.32
15.39   3.45
16.49   3.56
17.49   3.68
18.09   3.70
19.19   3.78
20.53   3.86
21.79   3.93
23.19   4.01
24.49   4.06
25.59   4.10
26.49   4.13
27.79   4.17
29.29   4.21
31.39   4.26
33.99   4.31
36.59   4.35
39.49   4.38
