# Associação em paralelo

# Capacitâncias medidas com capacímetro:
# INSERIR AQUI

# tempo (s)     tensão (V)
1.39    0.13
2.39    0.23
3.19    0.33
4.09    0.43
4.89    0.53
6.19    0.71
7.19    0.80
8.19    0.93
8.53    0.97
9.73    1.09
11.39   1.25
12.13   1.33
13.49   1.44
14.73   1.54
16.13   1.64
17.53   1.78
18.59   1.87
19.69   1.93
20.89   2.02
21.99   2.11
23.49   2.22
24.89   2.29
27.49   2.47
29.13   2.56
32.69   2.75
35.49   2.89
38.29   3.01
42.19   3.18
46.39   3.32
50.69   3.46
55.89   3.60
61.19   3.73
65.69   3.82
69.59   3.89
73.59   3.95
77.69   4.01
81.09   4.07
