# Capacitor de 220uF
# Tempo      # Tensao

1.59    0.19
2.23    0.34
2.93    0.41
3.49    0.55
4.19    0.69
5.29    0.82
6.19    0.94
7.03    1.12
7.59    1.18
8.69    1.35
10.19   1.56
10.99   1.66
11.99   1.75
12.49   1.80
13.59   1.94
14.49   2.02
15.99   2.19
17.19   2.3
18.13   2.38
19.59   2.51
21.13   2.65
22.79   2.77
24.49   2.8
26.99   3.06
29.29   3.17
32.39   3.34
35.79   3.5
38.49   3.59
42.39   3.72
45.99   3.82
49.39   3.91
52.49   3.97
55.59   4.03
59.09   4.09   
64.39   4.16
70.39   4.22
75.39   4.26
82.53   4.31

