# Curva de descarga
# Resistor de 100 k ohm, capacitor de 220 uF

# tempo (s)  tensão (V)
0.00    4.16
1.29    3.82
2.49    3.41
3.39    3.16
4.19    2.93
5.29    2.61
6.53    2.33
7.49    2.16
8.39    1.93
9.49    1.79
10.19   1.66
11.29   1.48
12.59   1.33
13.53   1.18
14.59   1.10
15.79   0.98
16.39   0.94
17.09   0.87
18.49   0.75
19.53   0.70
20.53   0.62
21.53   0.56
22.49   0.52
23.19   0.48
24.09   0.44
25.39   0.40
26.79   0.35
27.89   0.32
28.93   0.28
29.93   0.26
30.79   0.24
31.59   0.22
32.49   0.20
33.19   0.19
34.53   0.17
35.59   0.15
36.99   0.13
